# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1331943	1332563	+							MPAO1_06410	621		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1332578	1333273	+							MPAO1_06415	696		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1333329	1333970	+							MPAO1_06420	642		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1334006	1336072	+							MPAO1_06425	2067		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1336222	1341462	+							MPAO1_06430	5241		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1341481	1342173	+							MPAO1_06435	693		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1342280	1342819	+							MPAO1_06440	540		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1342863	1344578	+					recJ		MPAO1_06445	1716		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1344865	1346361	+							MPAO1_06450	1497		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1346531	1347637	+							MPAO1_06455	1107		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1347826	1348176	+							MPAO1_06460	351		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1348189	1348830	-							MPAO1_06465	642		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1349035	1349460	+							MPAO1_06470	426		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1349468	1349629	+							MPAO1_06475	162		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1349777	1351018	+							MPAO1_06480	1242		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1351117	1351458	-							MPAO1_06485	342		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1351669	1353375	+							MPAO1_06490	1707		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1353454	1354257	-							MPAO1_06495	804		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1354378	1355019	-							MPAO1_06500	642		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1355343	1357205	-							MPAO1_06505	1863		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1357527	1358222	+							MPAO1_06510	696		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1358259	1359164	-							MPAO1_06515	906		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1359336	1361009	+							MPAO1_06520	1674		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1361118	1362737	+							MPAO1_06525	1620		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1363004	1364632	+							MPAO1_06530	1629		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1364637	1365152	+							MPAO1_06535	516		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1365149	1366417	+							MPAO1_06540	1269		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1366410	1367099	+							MPAO1_06545	690		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1367096	1369405	+							MPAO1_06550	2310		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1369402	1370409	+							MPAO1_06555	1008		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1370517	1371560	+							MPAO1_06560	1044		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1371683	1372778	+					prfB		MPAO1_06565	1096		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1372959	1374464	+					lysS		MPAO1_06570	1506		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1374676	1375389	+							MPAO1_06575	714		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1375486	1376037	+							MPAO1_06580	552		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1376046	1377341	+							MPAO1_06585	1296		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1377410	1378156	+							MPAO1_06590	747		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1378153	1379058	+							MPAO1_06595	906		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1379055	1379378	+							MPAO1_06600	324		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1379375	1379896	+							MPAO1_06605	522		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1379972	1380757	-							MPAO1_06610	786		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1380806	1381210	-							MPAO1_06615	405		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1381590	1383812	-							MPAO1_06620	2223		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1383926	1384396	+					cadR		MPAO1_06625	471		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1384405	1384749	-							MPAO1_06630	345		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1384956	1387592	+							MPAO1_06635	2637		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1387753	1388400	+							MPAO1_06640	648		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1388504	1389184	+					tsaB		MPAO1_06645	681		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1389258	1389605	+							MPAO1_06650	348		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1389624	1390490	+							MPAO1_06655	867		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1390563	1391387	+							MPAO1_06660	825		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1391392	1392087	+							MPAO1_06665	696		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1392143	1392928	+							MPAO1_06670	786		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1392957	1394234	+							MPAO1_06675	1278		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1394241	1394879	-							MPAO1_06680	639		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1394975	1396078	+							MPAO1_06685	1104		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1396083	1399160	+							MPAO1_06690	3078		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1399200	1399880	-							MPAO1_06695	681		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1400017	1400415	-							MPAO1_06700	399		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1400559	1403063	-							MPAO1_06705	2505		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1403347	1404270	+							MPAO1_06710	924		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1404267	1405001	+							MPAO1_06715	735		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1405012	1406859	+							MPAO1_06720	1848		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1406863	1407843	+							MPAO1_06725	981		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1407850	1408272	-							MPAO1_06730	423		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1408269	1409474	-							MPAO1_06735	1206		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1409569	1410603	-					dapD		MPAO1_06740	1035		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1410633	1411256	-							MPAO1_06745	624		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1411269	1411616	-							MPAO1_06750	348		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1411919	1412272	+							MPAO1_06755	354		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1412287	1412580	-							MPAO1_06760	294		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1412902	1413261	-							MPAO1_06765	360		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1413499	1415244	+							MPAO1_06770	1746		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1415296	1416504	-							MPAO1_06775	1209		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1416522	1419224	-							MPAO1_06780	2703		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1419391	1420176	-					map		MPAO1_06785	786		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1420441	1421181	+					rpsB		MPAO1_06790	741		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1421312	1422181	+							MPAO1_06795	870		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1422380	1423117	+							MPAO1_06800	738		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1423120	1423677	+							MPAO1_06805	558		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1423693	1424448	+							MPAO1_06810	756		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1424442	1425257	+							MPAO1_06815	816		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1425254	1426444	+							MPAO1_06820	1191		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1426470	1427822	+							MPAO1_06825	1353		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1427893	1430286	+					bamA		MPAO1_06830	2394		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1430337	1430843	+							MPAO1_06835	507		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1430843	1431904	+					lpxD		MPAO1_06840	1062		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1431950	1432390	+							MPAO1_06845	441		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1432387	1433163	+							MPAO1_06850	777		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1433167	1434303	+							MPAO1_06855	1137		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1434303	1434908	+							MPAO1_06860	606		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1435125	1436540	+							MPAO1_06865	1416		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1436670	1440191	+							MPAO1_06870	3522		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1440341	1441291	+					accA		MPAO1_06875	951		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1441361	1442689	+							MPAO1_06880	1329		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1442860	1444488	+							MPAO1_06885	1629		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1444491	1445336	+							MPAO1_06890	846		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1445382	1446671	+							MPAO1_06895	1290		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1446736	1447020	+					ftsB		MPAO1_06900	285		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1447040	1447744	+							MPAO1_06905	705		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1447805	1448053	-					yedF		MPAO1_06910	249		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1448019	1449245	-							MPAO1_06915	1227		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1449321	1450229	-							MPAO1_06920	909		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1450361	1451473	+							MPAO1_06925	1113		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1451527	1452378	+					fghA		MPAO1_06930	852		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1452449	1452922	+							MPAO1_06935	474		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1452919	1453986	+					truD		MPAO1_06940	1068		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1453974	1454723	+							MPAO1_06945	750		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1454756	1455391	+							MPAO1_06950	636		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1455437	1456330	+							MPAO1_06955	894		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1456435	1457439	+					rpoS		MPAO1_06960	1005		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1457866	1458189	-							MPAO1_06965	324		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1458256	1460823	-					mutS		MPAO1_06970	2568		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1460803	1460967	+							MPAO1_06975	165		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1460949	1461956	-							MPAO1_06980	1008		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1462104	1462610	+							MPAO1_06985	507		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1462744	1463784	+							MPAO1_06990	1041		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1463790	1464251	+							MPAO1_06995	462		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1464273	1465343	-							MPAO1_07000	1071		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1465426	1466829	-							MPAO1_07005	1404		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1467009	1469414	+							MPAO1_07010	2406		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1469538	1469759	-							MPAO1_07015	222		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1469778	1470188	-							MPAO1_07020	411		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1470364	1471428	-							MPAO1_07025	1065		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1471517	1472287	-							MPAO1_07030	771		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1472280	1473173	-							MPAO1_07035	894		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1473178	1474269	-							MPAO1_07040	1092		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1474528	1475244	+							MPAO1_07045	717		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1475248	1476174	-							MPAO1_07050	927		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1476307	1476960	+							MPAO1_07055	654		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1477032	1477403	+							MPAO1_07060	372		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1477473	1479083	-							MPAO1_07065	1611		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1479327	1479590	+							MPAO1_07070	264		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1479590	1479742	+							MPAO1_07075	153		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1479770	1480555	-							MPAO1_07080	786		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1480683	1481498	+							MPAO1_07085	816		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1481698	1483020	+							MPAO1_07090	1323		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1483110	1484183	+							MPAO1_07095	1074		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1484180	1485589	-							MPAO1_07100	1410		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1485551	1485748	+							MPAO1_07105	198		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1485808	1486695	-							MPAO1_07110	888		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1486809	1488536	+							MPAO1_07115	1728		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1488575	1489762	+							MPAO1_07120	1188		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1489822	1490619	+							MPAO1_07125	798		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1490616	1492148	+							MPAO1_07130	1533		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1492171	1493376	+							MPAO1_07135	1206		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1493429	1494679	+							MPAO1_07140	1251		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1494685	1495605	-							MPAO1_07145	921		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1495904	1496890	+							MPAO1_07150	987		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1496907	1497236	-							MPAO1_07155	330		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1497369	1498907	-							MPAO1_07160	1539		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1499185	1499940	-							MPAO1_07165	756		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1499937	1500149	-							MPAO1_07170	213		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1500146	1501663	-					glpK		MPAO1_07175	1518		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1501703	1502542	-							MPAO1_07180	840		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1502807	1503277	+					ybaK		MPAO1_07185	471		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1503341	1504825	+					glpK		MPAO1_07190	1485		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1505021	1505806	+							MPAO1_07195	786		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1506030	1506125	+							MPAO1_07200	96		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1506297	1506410	+							MPAO1_07205	114		
gene	pseudogene	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1506526	1506615	+							MPAO1_07210	90		pseudo
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1506790	1507212	-							MPAO1_07215	423		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1507311	1507841	-							MPAO1_07220	531		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1508024	1508221	+							MPAO1_07225	198		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1508200	1508838	-							MPAO1_07230	639		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1509203	1510381	+							MPAO1_07235	1179		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1510389	1510565	-							MPAO1_07240	177		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1510692	1511615	-							MPAO1_07245	924		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1511747	1513240	+					mmsA		MPAO1_07250	1494		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1513256	1514152	+					mmsB		MPAO1_07255	897		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1514254	1516140	+							MPAO1_07260	1887		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1516198	1517211	-							MPAO1_07265	1014		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1517233	1517526	-							MPAO1_07270	294		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1517622	1518542	+							MPAO1_07275	921		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1518527	1518829	+							MPAO1_07280	303		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1518830	1519609	-							MPAO1_07285	780		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1519620	1520609	-							MPAO1_07290	990		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1520937	1523807	+					ptsP		MPAO1_07295	2871		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1523807	1524751	+					pfkB		MPAO1_07300	945		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1524753	1526510	+							MPAO1_07305	1758		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1526664	1528058	-							MPAO1_07310	1395		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1528055	1528468	-					arnF		MPAO1_07315	414		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1528465	1528812	-							MPAO1_07320	348		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1528809	1530458	-							MPAO1_07325	1650		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1530455	1531342	-							MPAO1_07330	888		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1531339	1533327	-							MPAO1_07335	1989		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1533324	1534343	-							MPAO1_07340	1020		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1534340	1535488	-							MPAO1_07345	1149		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1535872	1537317	-							MPAO1_07350	1446		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1537514	1538164	-							MPAO1_07355	651		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1538237	1539412	-							MPAO1_07360	1176		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1539427	1540989	-							MPAO1_07365	1563		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1541019	1541234	-							MPAO1_07370	216		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1541231	1542334	-							MPAO1_07375	1104		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1542338	1543762	-							MPAO1_07380	1425		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1543775	1545406	-							MPAO1_07385	1632		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1545427	1546899	-							MPAO1_07390	1473		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1546896	1548323	-							MPAO1_07395	1428		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1548337	1549506	-							MPAO1_07400	1170		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1549589	1551073	-							MPAO1_07405	1485		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1551213	1552523	-							MPAO1_07410	1311		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1553425	1554204	-					yaaA		MPAO1_07415	780		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1554311	1555393	-							MPAO1_07420	1083		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1555398	1556315	-					argF		MPAO1_07425	918		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1556593	1557060	+							MPAO1_07430	468		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1557454	1560441	-							MPAO1_07435	2988		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1560740	1562848	+							MPAO1_07440	2109		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1562961	1563287	+					grxD		MPAO1_07445	327		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1563370	1564521	+							MPAO1_07450	1152		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1564588	1565064	-					bfr		MPAO1_07455	477		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1565274	1565495	-							MPAO1_07460	222		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1565755	1566357	+							MPAO1_07465	603		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1566536	1567210	-					rnt		MPAO1_07470	675		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1567207	1568253	-							MPAO1_07475	1047		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1568386	1569351	+							MPAO1_07480	966		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1569469	1570686	+							MPAO1_07485	1218		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1570778	1571164	-					gloA		MPAO1_07490	387		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1571541	1572698	+							MPAO1_07495	1158		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1572695	1575856	+							MPAO1_07500	3162		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1575853	1577328	+							MPAO1_07505	1476		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1577916	1578110	+							MPAO1_07510	195		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1578511	1579548	+							MPAO1_07515	1038		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1579581	1580567	+							MPAO1_07520	987		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1580598	1582031	+					purB		MPAO1_07525	1434		
